                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3197,                0.68891,                0.88599,                0.95373,                0.89628,                0.91599,                0.47012,                 1.5008,                0.81384,                0.92809,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3465,                 0.7126,                0.86718,                0.91266,                0.84058,                0.90934,                0.59608,                  1.157,                0.74116,                0.85434,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3996,                0.70499,                0.88574,                0.87896,                  0.842,                0.90557,                0.58423,                 1.1477,                0.75426,                0.85104,               0.001307,               0.001307,               0.001307
                     38,                 1.4204,                0.74177,                0.89668,                0.88061,                0.85521,                0.88786,                0.40988,                 1.6699,                0.85752,                0.94592,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4438,                0.80202,                0.88476,                 0.9505,                0.86957,                0.92647,                0.52799,                 1.3465,                0.74537,                  0.898,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.429,                0.76867,                0.90205,                0.96856,                0.89314,                0.94194,                0.46215,                 1.4152,                0.76487,                0.89305,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2604,                0.65587,                0.86528,                0.96459,                0.88406,                0.94082,                0.47279,                 1.4165,                0.78142,                0.89343,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1435,                0.64781,                0.87372,                0.91067,                0.88648,                0.93212,                0.58639,                 1.2217,                0.75398,                0.87428,               0.001208,               0.001208,               0.001208
                     43,                 1.2149,                0.65453,                0.87207,                0.91249,                0.90681,                0.92661,                0.59452,                 1.1953,                0.71083,                0.86705,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2583,                0.66277,                0.87699,                0.92213,                0.85811,                0.90637,                0.61474,                 1.1058,                0.71813,                0.85206,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2706,                0.68001,                0.87929,                0.92603,                0.90724,                0.91602,                0.58764,                 1.1542,                0.71361,                0.85646,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3023,                0.67557,                0.87294,                0.92272,                0.91304,                 0.9078,                0.54936,                 1.2219,                0.76598,                0.85993,              0.0011288,              0.0011288,              0.0011288
